               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09058,            0.031349,            0.045604,             0.42245,             0.31867,             0.12108,            0.041719,            0.066625,            0.016965,            0.029519,             0.07075,             0.00325,             0.00325
                   1,            0.061504,            0.025112,             0.02324,             0.16815,             0.50153,             0.20464,            0.070767,            0.070324,           0.0083894,            0.018205,            0.040717,           0.0065507,           0.0065507
                   2,            0.059198,            0.020001,            0.016001,              0.3007,             0.46445,             0.27543,             0.10035,              0.0642,            0.010068,            0.012053,            0.010652,           0.0098185,           0.0098185
                   3,            0.054878,            0.019983,            0.011189,             0.40965,             0.56803,             0.41251,             0.16073,             0.06668,           0.0083465,           0.0087994,           0.0098515,           0.0098515,           0.0098515
                   4,            0.051016,            0.019104,           0.0087711,             0.44239,             0.51645,             0.45034,             0.18981,            0.063902,           0.0090026,             0.01188,           0.0098515,           0.0098515,           0.0098515
                   5,            0.049252,            0.019077,           0.0073884,              0.5191,             0.45484,             0.46589,             0.21576,             0.05719,            0.010567,            0.017555,            0.009802,            0.009802,            0.009802
                   6,            0.047519,            0.018813,           0.0069211,             0.59364,             0.56244,             0.59746,             0.23957,            0.051771,            0.010472,           0.0085295,           0.0097525,           0.0097525,           0.0097525
                   7,            0.045368,            0.018451,           0.0055382,             0.67236,             0.62157,             0.64733,             0.27644,            0.050649,           0.0092727,           0.0076472,            0.009703,            0.009703,            0.009703
                   8,             0.04504,            0.018559,           0.0054922,             0.73929,             0.68254,             0.71614,             0.36528,            0.046468,           0.0092512,           0.0070937,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043678,            0.018268,           0.0050695,             0.76121,             0.71217,             0.78047,             0.37513,             0.04742,            0.008715,           0.0056922,            0.009604,            0.009604,            0.009604
                  10,            0.042016,            0.017924,           0.0043782,             0.74963,             0.70114,             0.80155,             0.39726,            0.045323,           0.0079532,            0.003838,           0.0095545,           0.0095545,           0.0095545
                  11,            0.041236,            0.017513,            0.004662,             0.87572,             0.77524,             0.84615,             0.41848,            0.045734,           0.0078289,           0.0032012,            0.009505,            0.009505,            0.009505
                  12,            0.040347,            0.017372,           0.0041495,             0.80199,             0.75512,             0.82925,              0.4681,            0.042005,           0.0083896,           0.0045955,           0.0094555,           0.0094555,           0.0094555
                  13,            0.039559,            0.016793,           0.0037413,             0.84449,             0.78546,             0.84642,             0.40344,            0.043506,           0.0076615,           0.0037734,            0.009406,            0.009406,            0.009406
                  14,            0.039112,            0.016595,           0.0036962,             0.79727,              0.7319,             0.76067,              0.3854,            0.046024,           0.0071337,           0.0067611,           0.0093565,           0.0093565,           0.0093565
                  15,            0.038915,            0.016722,           0.0037308,             0.80329,             0.75819,             0.82411,              0.4675,            0.041106,           0.0079294,           0.0046666,            0.009307,            0.009307,            0.009307
                  16,            0.038689,            0.016442,           0.0033258,             0.75719,             0.53262,              0.6139,             0.30405,            0.047153,            0.011047,            0.010031,           0.0092575,           0.0092575,           0.0092575
                  17,            0.037976,            0.015799,           0.0032743,             0.90264,             0.84135,             0.89309,             0.53215,            0.039422,           0.0074016,           0.0025248,            0.009208,            0.009208,            0.009208
                  18,            0.037311,            0.016403,           0.0031787,              0.8509,             0.87688,              0.9063,             0.51272,            0.038791,           0.0073678,           0.0025498,           0.0091585,           0.0091585,           0.0091585
                  19,            0.036438,            0.016111,           0.0029867,             0.86144,             0.84249,              0.8701,              0.4845,            0.042164,            0.007086,           0.0037242,            0.009109,            0.009109,            0.009109
                  20,            0.036711,            0.015976,           0.0030547,             0.86275,             0.79503,             0.86246,             0.50917,            0.040832,           0.0071859,           0.0035772,           0.0090595,           0.0090595,           0.0090595
                  21,            0.036802,            0.016097,           0.0026978,             0.88833,             0.79289,             0.87616,              0.5193,            0.039611,           0.0073946,           0.0022817,             0.00901,             0.00901,             0.00901
                  22,            0.035965,            0.015306,           0.0032638,             0.83989,             0.75094,             0.83823,             0.45981,             0.03937,           0.0076485,           0.0035706,           0.0089605,           0.0089605,           0.0089605
                  23,            0.036258,            0.015521,           0.0026887,              0.8934,             0.85843,             0.89575,             0.50467,            0.040316,           0.0071303,            0.003093,            0.008911,            0.008911,            0.008911
                  24,            0.036017,            0.014966,           0.0025273,             0.85787,             0.87966,             0.89454,             0.54927,            0.040491,           0.0067945,           0.0033829,           0.0088615,           0.0088615,           0.0088615
                  25,            0.035153,            0.015466,           0.0025929,             0.88324,             0.85372,             0.90573,             0.53972,            0.041631,           0.0068684,            0.002362,            0.008812,            0.008812,            0.008812
                  26,            0.034691,            0.014809,           0.0027023,             0.89274,             0.84917,             0.89709,             0.54441,            0.039011,           0.0068867,           0.0023898,           0.0087625,           0.0087625,           0.0087625
                  27,            0.035176,            0.015513,           0.0030787,             0.91181,             0.87286,             0.89912,              0.5668,            0.036685,           0.0075792,           0.0018608,            0.008713,            0.008713,            0.008713
