               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086895,            0.029805,            0.044811,             0.24887,             0.51169,             0.26577,             0.10898,            0.059137,            0.012915,            0.021254,              0.0706,           0.0032667,           0.0032667
                   1,            0.058865,            0.022722,            0.021997,              0.4026,             0.58015,             0.48164,             0.21832,            0.053322,           0.0089077,            0.012393,            0.040556,           0.0065564,           0.0065564
                   2,            0.057316,            0.019463,            0.013529,              0.4487,             0.51413,             0.42968,             0.19431,            0.058349,            0.010249,           0.0092611,            0.010469,           0.0098022,           0.0098022
                   3,            0.053735,            0.019176,           0.0098943,             0.54019,             0.51613,             0.48695,             0.22403,            0.049226,            0.010174,            0.015007,            0.009802,            0.009802,            0.009802
                   4,            0.050373,            0.018656,           0.0083694,             0.55911,             0.43922,             0.45486,             0.15174,            0.050069,            0.011093,            0.014255,            0.009802,            0.009802,            0.009802
                   5,            0.047248,            0.018128,           0.0067703,             0.58205,             0.58721,              0.5962,             0.27144,            0.045767,           0.0091606,           0.0089315,            0.009736,            0.009736,            0.009736
                   6,            0.045725,            0.017695,           0.0068011,             0.73459,             0.45036,             0.48507,             0.21038,            0.056194,           0.0096161,            0.025934,             0.00967,             0.00967,             0.00967
                   7,            0.046016,            0.017589,           0.0064292,             0.55283,             0.45137,             0.47101,             0.19716,            0.054066,            0.012305,            0.011171,            0.009604,            0.009604,            0.009604
                   8,            0.042613,            0.017682,           0.0055388,             0.70295,             0.61092,             0.66158,             0.36658,            0.038487,           0.0093205,            0.010095,            0.009538,            0.009538,            0.009538
                   9,            0.042254,            0.017149,           0.0046395,             0.82779,             0.79529,              0.8615,             0.45376,            0.036488,           0.0085435,           0.0048482,            0.009472,            0.009472,            0.009472
